OA11CD,Median16,Mean16,Min16,Max16,Median17,Mean17,Min17,Max17,LSOA11CD
E00004527,"18.78461538","27.4","5.592307692","92.33846154","19.62","32.83333333","7.986666667","102.22",E01000918
E00004525,"24.22","33.2","13.13333333","83.86","25.07272727","36.69090909","11.3","103.7090909",E01000918
E00004522,"23.17272727","29.89090909","8.259090909","83.39090909","25.22380952","34.11904762","10.12380952","100.5428571",E01000919
E00004287,"37.55","49.35","14.9","150.5","54.5","58.02","17.8","180",E01000875
E00004206,"34.925","51.225","15.85","138","49.95","62.625","11.6","175",E01000858
E00004200,"27.68","33.02666667","14.35333333","72.43333333","40.14","44.07333333","17.10666667","84.4",E01000851
E00004281,"48.125","52.55","7.85","128","54.25","57.175","5.85","162.5",E01000864
E00004464,"50","54.15","11.85","150","58.7","57.75","15","125",E01000905
E00004460,"31.18","38.08","8.36","88.36","36.3","45.16","8.18","115.3",E01000902
E00004461,"40","48.45","1.25","200","52.5","60.35","3.9","200",E01000905
E00174650,"31.12","30.54","6.24","49.14","20.9","19.075","8.05","23.5",E01000851
E00174657,"35.14","33.52","8.28","72.86","36.58","367","8.5","73.8",E01000869
E00174654,"23.65714286","30.65714286","5.028571429","81.85714286","33.72857143","40.54285714","5.5","96.61428571",E01000945
E00174655,"22.88571429","30.85714286","5.971428571","89.34285714","23.6","38.95714286","7.885714286","122",E01000852
E00004707,"17.34545455","28.03636364","4.536363636","112.2454545","21.92727273","33.54545455","6.272727273","130.9909091",E01000947
E00004786,"14.05","35.65","2.625","157.45","22.325","43.9","2.45","145",E01000960
E00004705,"14.25","39.225","2.95","187.5","38.425","56.175","4.65","225",E01000948
E00004784,"23.23333333","37.66666667","11.3","105.1555556","30.64","41.89","11.42","107.99",E01000967
E00004654,"12.6","12.4","0.3","22","13.8","13.7","0.3","22",E01000937
E00004653,"35.65","48.7","8.15","126","50.225","73.375","11.25","225",E01000937
E00004650,"26.84","36.48","9.22","109.51","33.3","42.55555556","10.28888889","122.9555556",E01000943
E00004651,"37.76","39.18","9.48","84","52.1","50.96","17.78","93.62",E01000936
E00004658,"29.81875","34.2625","11.6625","79.64375","35.45","39.73125","10.41875","98.56875",E01000939
E00004195,"27.188","32.004","8.412","79.332","25.184","38.32","8.084","102.472",E01000850
E00004216,"21.28333333","42.05","4.75","136.1833333","36.3","56.03333333","4.033333333","160.2",E01000859
E00004297,"33.7","45.3","10.54","147.36","24.48","45.08","8.34","155.26",E01000877
E00004295,"42.29166667","52.91666667","9.191666667","121.625","47.24545455","62.88181818","14.15454545","153.6909091",E01000871
E00004214,"11.36","15.9","1.94","65.04","11.9","19.16","2.38","70.28",E01000858
E00004211,"36.85","48.28333333","15.03333333","120.8166667","37.8","54.3","13.95","170.2833333",E01000856
E00004290,"23.2","36.17142857","6.971428571","95.18571429","37.01666667","45.91666667","7.35","145.7166667",E01000875
E00004529,"19.05714286","27.46785714","8.5","91.31071429","20.688","34.132","7.86","119.984",E01000919
E00004473,"54.2","55","7.975","144","57.26","65.86","8.38","176",E01000906
E00004478,"29.74545455","44.41818182","8.245454545","140.3636364","38.52727273","55.93636364","10.24545455","158.1818182",E01000904
E00004797,"28.98","37.98","9.25","106.27","35.55","46.1","10.17","150.21",E01000960
E00004716,"25.86666667","41.66666667","2.6","200","29.03333333","51.9","8.5","200",E01000950
E00004714,"13.54285714","20.6","5.042857143","61.08571429","17.58571429","27.98571429","4.685714286","106.7",E01000946
E00004795,"44.81428571","53.84285714","8.842857143","144.5714286","50.54285714","73.17142857","8.557142857","174.2857143",E01000964
E00004710,"38.15","41.93333333","9.533333333","114","45.55","63.35","11.71666667","183.3333333",E01000947
E00004791,"50.175","48.525","7.125","107.125","55.475","60.65","9.65","137.75",E01000964
E00004626,"25.91666667","37.91666667","8.633333333","103.8333333","31.51666667","39.61666667","7.716666667","120.5166667",E01000934
E00004623,"29.025","39.55","7.55","132.8","35.275","45.5","6.1","161.1",E01000933
E00004344,"39.075","48.9125","6.7","133.9","55.525","59.1625","9.475","133.75",E01000883
E00004345,"38.07777778","39.4","6.033333333","89.27777778","39.34444444","46.33333333","8.6","109.4111111",E01000885
E00004536,"20.01904762","32.62857143","7.8","105.1666667","33.93","43.385","8.33","114.91",E01000916
